((0.0751856,1.14494),0.33649)
((0.58615,-1.07132),0.26596)
((-0.714963,1.11523),0.0151565)
((1.1841,1.16162),0.00339124)
((0.777801,-0.00645357),0.854253)
((-0.965192,0.521969),0.126872)
((0.231512,1.01737),0.53778)
((-1.09322,-1.24947),0.00107976)
((0.177755,0.0222241),0.9813)
((1.02017,1.06836),0.0109494)
((0.988815,-0.984778),0.0605727)
((-1.16256,0.901311),0.00363799)
((0.840789,1.14045),0.0181306)
((0.1161,-1.21043),0.187077)
((-1.22814,1.10721),0.00107026)
((-1.09271,-0.172707),0.189342)
((-0.190975,0.282711),0.975079)
((-0.973253,0.028499),0.304486)
((-1.01807,-0.730761),0.0207372)
((0.603364,0.74654),0.766793)
((-0.408407,0.897134),0.450128)
((0.629922,-0.406934),0.944987)
((0.656342,1.14382),0.0781955)
((-0.744838,-0.985685),0.0346168)
((1.09733,0.32606),0.23295)
((0.0979983,-0.441812),0.972103)
((-0.53805,-0.507387),0.867546)
((-0.150793,0.61851),0.940759)
((0.300374,0.881617),0.769885)
((-0.157674,-0.0317484),0.979453)
((-1.09502,1.03554),0.00199352)
((-0.657107,1.00101),0.0486901)
((-0.991388,0.24174),0.240815)
((0.42173,0.511964),0.956592)
((-0.414706,0.0426722),0.962953)
((-0.308318,0.592462),0.92448)
((0.00803008,-0.0383807),0.981459)
((-0.0652321,1.14395),0.312959)
((-1.08961,-0.609586),0.0377527)
((-0.309044,0.89939),0.565365)
((1.03984,-0.961081),0.0488801)
((-0.391637,0.258344),0.960007)
((-0.506554,-1.15181),0.0910843)
((-0.897527,0.262157),0.356661)
((1.07934,0.436049),0.220806)
((1.17004,-0.125218),0.224869)
((0.46028,0.927531),0.616816)
((-0.989483,-0.242892),0.265982)
((0.209376,-1.01851),0.38813)
((-0.526796,1.14459),0.0670133)
((-0.37001,1.23923),0.119156)
((0.299647,1.16546),0.288023)
((0.337658,0.0098507),0.978719)
((0.560688,0.986583),0.375848)
((-1.00365,-0.822826),0.010542)
((0.769214,0.680111),0.570279)
((0.617188,0.577966),0.878002)
((-1.13133,0.811339),0.00791813)
((1.17079,-0.040025),0.218917)
((-0.199496,-0.434113),0.965853)
((-1.14484,1.11323),0.00124488)
((0.0289508,-0.923402),0.53911)
((0.381164,1.23),0.193601)
((0.0413075,-0.745059),0.855601)
((0.296751,-0.0097269),0.979776)
((-0.980009,-1.00792),0.00395709)
((-0.0434192,0.253648),0.979035)
((0.564688,0.714371),0.835764)
((-1.07074,-0.998663),0.00226422)
((0.477299,-0.531488),0.955213)
((-0.225978,-0.520379),0.950746)
((-1.00841,-0.897442),0.00589746)
((-0.812172,-0.168329),0.597857)
((0.890553,0.0246972),0.668114)
((0.086667,-0.88694),0.630822)
