((0.396383,0.888095),0.617683)
((0.778878,0.00708943),0.958904)
((0.618262,0.479708),0.745258)
((0.211872,0.733679),0.887873)
((0.422882,0.456631),0.912345)
((0.174033,0.421659),0.992946)
((0.61106,0.0648371),0.983096)
((0.532534,0.758726),0.59909)
((0.224479,0.351773),0.994066)
((0.814634,0.952034),0.394476)
((0.312414,0.113944),0.998936)
((0.337491,0.134804),0.998125)
((0.0883887,0.112451),0.999943)
((0.957238,0.975237),0.36615)
((0.519037,0.545547),0.776203)
((0.772471,0.915421),0.413045)
((0.433642,0.551349),0.843326)
((0.92251,0.0519044),0.865273)
((0.0310571,0.134382),0.999964)
((0.785583,0.453939),0.629918)
((0.591012,0.959616),0.462049)
((0.875598,0.202073),0.774394)
((0.0244531,0.408132),0.998971)
((0.960799,0.248932),0.666602)
((0.759905,0.775433),0.460962)
((0.200967,0.0723186),0.999853)
((0.889377,0.538457),0.509622)
((0.207123,0.977766),0.719414)
((0.650908,0.164361),0.944007)
((0.953003,0.169945),0.742542)
((0.709909,0.725474),0.505899)
((0.0853659,0.143551),0.999919)
((0.276823,0.00787587),0.999827)
((0.195456,0.30788),0.997403)
((0.142257,0.981038),0.777397)
((0.761819,0.73327),0.477213)
((0.940655,0.637417),0.444741)
((0.935343,0.965108),0.370548)
((0.0455489,0.896142),0.908548)
((0.21404,0.805454),0.839963)
((0.671575,0.415007),0.755005)
((0.877772,0.560952),0.503668)
((0.953464,0.0848955),0.817489)
((0.538717,0.604372),0.710317)
((0.249257,0.49172),0.970975)
((0.774318,0.959166),0.402289)
((0.217194,0.859683),0.798366)
((0.102717,0.494017),0.99327)
((0.867559,0.298172),0.69555)
((0.801897,0.00981685),0.950294)
((0.279211,0.563716),0.935981)
((0.743087,0.219865),0.859563)
((0.201133,0.678429),0.923936)
((0.184973,0.246682),0.998898)
((0.574571,0.399013),0.847421)
((0.0521362,0.246146),0.999802)
((0.814019,0.929909),0.399203)
((0.807098,0.767483),0.445876)
((0.0148043,0.345815),0.999572)
((0.371856,0.264061),0.988319)
((0.837535,0.146173),0.850084)
((0.223227,0.054729),0.999843)
((0.00585678,0.325944),0.999702)
((0.548746,0.873416),0.520694)
((0.624116,0.350644),0.846687)
((0.883233,0.903327),0.389613)
((0.91436,0.62632),0.458347)
((0.123193,0.115493),0.999907)
((0.304749,0.308166),0.990946)
((0.362176,0.87932),0.652257)
((0.707178,0.414312),0.725531)
((0.125466,0.521198),0.988755)
((0.344221,0.932564),0.630084)
((0.288681,0.359025),0.987238)
((0.278378,0.660537),0.885723)
((0.623086,0.115913),0.969759)
((0.80671,0.846313),0.42154)
((0.170642,0.812567),0.86959)
((0.172257,0.719389),0.920382)
((0.685983,0.796373),0.484776)
((0.0700322,0.569216),0.990095)
((0.6997,0.984392),0.416102)
((0.195536,0.822893),0.843219)
((0.0998854,0.500285),0.99305)
((0.131058,0.462061),0.993354)
((0.379605,0.838237),0.667155)
((0.876373,0.505071),0.535299)
((0.359434,0.220594),0.993512)
((0.437634,0.648116),0.764314)
((0.579619,0.716013),0.592901)
((0.308652,0.202705),0.997035)
((0.831926,0.115363),0.876855)
((0.0490179,0.00256862),0.999991)
((0.92793,0.221275),0.715987)
((0.721957,0.613913),0.561588)
((0.0176479,0.791989),0.961664)
((0.183129,0.717348),0.915157)
((0.776381,0.378664),0.698959)
((0.540241,0.876267),0.524229)
((0.878949,0.671299),0.454343)
((0.338328,0.258554),0.992262)
((0.509536,0.214701),0.972699)
((0.763625,0.86897),0.428229)
((0.435295,0.201259),0.988151)
((0.517086,0.0149138),0.996245)
((0.917272,0.825739),0.398252)
((0.217619,0.749198),0.87432)
((0.941101,0.266637),0.666187)
((0.751766,0.869031),0.432027)
((0.487911,0.473724),0.857897)
((0.482943,0.505559),0.838279)
((0.265713,0.666072),0.891073)
((0.222908,0.0420946),0.999868)
((0.0447362,0.763149),0.960692)
((0.918362,0.923685),0.379481)
((0.434448,0.25669),0.979823)
((0.182239,0.943984),0.767739)
((0.471391,0.945864),0.52987)
((0.812954,0.906686),0.404608)
((0.147123,0.33004),0.99813)
((0.9216,0.0643942),0.856368)
((0.155779,0.139218),0.999806)
((0.813592,0.0968803),0.900297)
((0.405855,0.565359),0.854933)
((0.965911,0.893766),0.376383)
((0.0390824,0.448854),0.998025)
((0.399326,0.304796),0.977386)
((0.114926,0.622233),0.975137)
((0.34689,0.159662),0.997178)
((0.385382,0.265252),0.986431)
((0.0833474,0.81983),0.922854)
((0.521941,0.265586),0.953565)
((0.763814,0.993332),0.397497)
((0.21145,0.576768),0.959024)
((0.900018,0.358573),0.621002)
((0.906809,0.821618),0.401545)
((0.422967,0.0625878),0.997794)
((0.960836,0.236559),0.677231)
((0.159468,0.366691),0.996698)
((0.801918,0.125379),0.888551)
((0.260457,0.841),0.773222)
((0.574233,0.659783),0.636839)
((0.145795,0.689159),0.946234)
((0.282017,0.492686),0.96101)
((0.848822,0.667399),0.467661)
((0.757937,0.932169),0.412847)
((0.487229,0.279879),0.960588)
((0.197755,0.251043),0.998636)
((0.273211,0.409205),0.982381)
((0.827811,0.173229),0.835482)
((0.767778,0.73462),0.474015)
((0.994846,0.190745),0.691751)
((0.797208,0.955682),0.397631)
((0.427304,0.956676),0.552427)
((0.322373,0.229221),0.995293)
((0.0820548,0.58283),0.987239)
((0.0702213,0.656288),0.978391)
((0.242614,0.216017),0.998441)
((0.345447,0.524631),0.920208)
((0.708702,0.194269),0.89947)
((0.192029,0.46664),0.986651)
((0.126438,0.679258),0.957179)
((0.746518,0.324193),0.771011)
((0.930301,0.0197289),0.883685)
((0.733399,0.758112),0.479353)
((0.192957,0.501177),0.981471)
((0.492732,0.187804),0.981744)
((0.691922,0.28994),0.842795)
((0.143486,0.119226),0.999873)
((0.246615,0.465859),0.97729)
((0.348447,0.32867),0.982644)
((0.0486889,0.418668),0.998429)
((0.984958,0.291303),0.61463)
((0.634685,0.330406),0.85416)
((0.815933,0.343387),0.697391)
((0.524675,0.00796269),0.996225)
((0.810027,0.651113),0.491994)
((0.687221,0.556545),0.625752)
((0.975306,0.617522),0.440153)
((0.576274,0.708705),0.600309)
((0.375634,0.769232),0.723566)
((0.209882,0.868366),0.798514)
((0.957035,0.901804),0.376551)
((0.158306,0.100521),0.999879)
((0.0210298,0.404921),0.99905)
((0.566379,0.369477),0.874762)
((0.733591,0.615068),0.553484)
((0.788145,0.718549),0.471923)
((0.906371,0.42283),0.569841)
((0.0489549,0.722304),0.9699)
((0.766218,0.57363),0.558845)
((0.730267,0.576245),0.580668)
((0.224742,0.417488),0.988335)
((0.13279,0.200048),0.999686)
((0.0350099,0.709064),0.976146)
((0.908753,0.410644),0.576711)
((0.478296,0.118636),0.99219)
((0.279011,0.435331),0.976425)
((0.0204396,0.437316),0.998622)
((0.535852,0.0414694),0.993771)
((0.842238,0.102231),0.879654)
((0.410946,0.575829),0.843407)
((0.717299,0.199092),0.891193)
((0.294378,0.62367),0.89692)
((0.621922,0.343333),0.853852)
((0.345974,0.38814),0.971044)
((0.916963,0.0762401),0.850252)
((0.964385,0.141705),0.759211)
((0.493728,0.0971752),0.9927)
((0.341753,0.528738),0.920161)
((0.80624,0.250507),0.786782)
((0.939382,0.284536),0.652369)
((0.369142,0.218392),0.992952)
((0.719867,0.389582),0.736269)
((0.655709,0.255718),0.892299)
((0.431051,0.497946),0.882345)
((0.357949,0.841998),0.683434)
((0.073775,0.0752481),0.999971)
((0.0410895,0.368153),0.999214)
((0.698918,0.663012),0.546081)
((0.711486,0.0448913),0.966418)
((0.0511517,0.628448),0.985925)
((0.121131,0.0155367),0.999975)
((0.770153,0.614859),0.531712)
((0.112712,0.111906),0.999923)
((0.143597,0.918952),0.820712)
((0.362413,0.0829787),0.998646)
((0.203487,0.731555),0.8948)
((0.301371,0.923354),0.673535)
((0.121137,0.95708),0.813672)
((0.179072,0.552189),0.974737)
((0.455026,0.537021),0.836912)
((0.394186,0.528801),0.887849)
((0.612269,0.435276),0.78795)
((0.896954,0.311187),0.661684)
((0.0982875,0.60844),0.981123)
((0.356078,0.149439),0.997209)
((0.236888,0.47721),0.977124)
((0.164976,0.00704168),0.999961)
((0.092069,0.277688),0.999505)
((0.118948,0.235666),0.999588)
((0.196639,0.481361),0.983949)
((0.318645,0.400127),0.974957)
((0.212917,0.620016),0.943323)
((0.32348,0.334054),0.985741)
((0.577096,0.502553),0.761538)
((0.886243,0.0321217),0.900689)
((0.0395739,0.280429),0.99974)
((0.560923,0.651843),0.653655)
((0.715705,0.457877),0.681468)
((0.96303,0.813993),0.39105)
((0.0663169,0.319109),0.999405)
((0.963432,0.303205),0.620047)
((0.796319,0.128408),0.889909)
